smile,PfDHFR,PfCRT,PfATP4,rrs_score,rrs_class
CCc1ccc(Nc2cc(C)nc3nc(C)nn23)cc1,-2.6,-6.0,-9.2,,Unknown
CCCCOc1ccc(C(=O)Nc2cc(C)on2)cc1,-0.4,-5.5,-8.4,,Unknown
CCN(Cc1ccccc1)C1CCN(Cc2cc(Br)ccc2O)CC1,-0.8,-6.2,-8.8,,Unknown
CC(C)(C)CC(C)(C)NCC(O)COc1ccc(Cl)cc1Cl,-2.1,-5.1,-8.7,,Unknown
COc1cc(SC)ccc1C(=O)N1CCCC(C)C1,1.3,-5.6,-7.3,,Unknown
COc1ccc2nc(C)cc(Nc3ccccc3O)c2c1,-5.7,-6.9,-9.8,,Unknown
Cc1cc(NC(=O)c2ccc(-c3ccccc3)cc2)no1,15.9,-6.5,-10.3,,Unknown
Cc1ccc(NC(=O)Nc2cccc(Cl)c2)cc1F,4.8,-6.2,-9.9,,Unknown
O=c1nc(C=Cc2ccc(Cl)cc2)oc2ccccc12,6.2,-6.1,-10.5,,Unknown
CCC(O)c1ccc(Br)cc1NC(=O)c1cccc(Cl)c1,-2.2,-6.3,-9.1,,Unknown
Cc1cc(Nc2cccc(F)c2)nc(NCc2ccccc2)n1,-6.2,-6.9,-10.2,,Unknown
O=C1CC(O)(C(F)(F)C(F)(F)F)Oc2ccccc21,-8.2,-6.4,-9.4,8.8,A
O=C(Nc1ccc(Br)cc1)Nc1cccc(Cl)c1,6.0,-5.8,-9.4,,Unknown
CCOc1ccc(CCNC(=O)c2cccs2)cc1OCC,-4.5,-5.7,-8.4,,Unknown
COc1ccc(-c2nonc2NC(=O)c2cccc(Cl)c2)cc1OC,-1.3,-6.8,-9.5,,Unknown
COCCn1c(C)nc2ccccc2c1=O,-6.2,-5.3,-7.1,,Unknown
CCOc1c(Cl)cc(CNCC(O)c2ccccc2)cc1OC,-3.9,-6.1,-9.0,,Unknown
COc1ccc2nc(C)cc(Nc3ccc(Cl)cc3)c2c1,-3.6,-6.2,-8.5,,Unknown
CCCCc1c(C)[nH]c2c(OC)cccc2c1=O,-6.2,-5.4,-7.6,,Unknown
CCOc1cc2c(cc1OCC)C(c1cc(C)c(O)c(C)c1)NCC2,4.9,-6.6,-7.0,,Unknown
CC(C)c1ccc(CNCC(O)c2ccccc2)cc1,-4.7,-4.9,-9.4,,Unknown
Cc1c(C)n(CC(O)CNC2CCCCC2C)c2ccccc12,-2.6,-5.9,-9.6,,Unknown
Oc1ccc(Br)cc1CN1CCN(Cc2cccc(F)c2)CC1,1.7,-6.2,-9.4,,Unknown
CN(C)CCNc1cc(-c2ccccc2)nc2ccccc12,-2.9,-6.3,-8.6,,Unknown
COc1ccc2nc(C)cc(Nc3cccc(O)c3)c2c1,-5.8,-6.9,-9.6,,Unknown
Clc1ccc2c(N3CCCC3)ccnc2c1,-5.8,-5.4,-7.7,,Unknown
CCOc1ccccc1NC(=O)CN1CCN(C(=O)c2ccco2)CC1,-1.7,-6.6,-9.2,,Unknown
CCOc1ccccc1CN1CCc2[nH]c3cc(C(C)(C)C)nn3c(=O)c2C1,12.9,-6.5,-8.1,,Unknown
CN1CCN(c2ncnc3c2[nH]c2ccc(Cl)cc23)CC1,4.7,-6.5,-8.1,,Unknown
COc1cccc(C(=O)Nc2ccc(-c3nc4ccccc4[nH]3)cc2)c1,46.7,-6.9,-10.7,,Unknown
CN(C)CCCNCc1ccc(-c2ccc(F)c(Cl)c2)o1,-4.5,-5.4,-8.3,,Unknown
CCC(=O)Nc1nnc(Cc2ccc(OC)c(OC)c2)s1,-1.1,-6.5,-8.4,,Unknown
OC(CNCc1ccccc1)Cn1c2ccccc2c2ccccc21,-2.8,-6.2,-9.9,,Unknown
O=c1nc(C=Cc2ccc(Br)cc2)oc2ccccc12,8.9,-6.2,-10.3,,Unknown
CCOc1cc2c(cc1OCC)C(c1cc(Cl)c(O)c(OCC)c1)NCC2,6.2,-6.4,-7.0,,Unknown
COc1ccc(C(=O)C2CC2c2ccc(Cl)cc2)cc1,-5.7,-5.4,-9.2,,Unknown
COc1ccc(CN2CCN(Cc3ccccc3)CC2)c(O)c1,-0.1,-6.1,-8.4,,Unknown
CCOC(=O)c1cnc2ccc(Cl)cc2c1NCCCN(C)C,-3.8,-6.1,-8.4,,Unknown
Oc1ccc(C(=C(Cl)Cl)c2ccc(O)cc2)cc1,-6.5,-5.9,-9.1,,Unknown
Cc1[nH]c2ccccc2c(=O)c1CC=C(Cl)Cl,-6.2,-5.5,-8.2,,Unknown
CC(C)(C)c1ccc2c(c1)CN(Cc1ccc(Cl)cc1)CO2,-2.4,-6.2,-8.9,,Unknown
CCOC(=O)C1(Cc2ccccc2)CCN(Cc2cccc(OC)c2O)CC1,3.5,-6.1,-9.1,,Unknown
Cc1ccc(OCCCCCCNCCO)c(C)c1,-5.5,-4.8,-7.5,,Unknown
CC(C)CCNCC(O)Cn1c2ccccc2c2ccccc21,-4.6,-5.5,-8.6,,Unknown
CCCCCCc1cc(O)c2c3c(c(=O)oc2c1)CCC(C)C3,0.8,-6.3,-9.2,,Unknown
CCOc1ccc2c(c1)CN(Cc1ccc(Cl)cc1)CO2,-6.3,-5.8,-8.5,,Unknown
CCCc1c(C)[nH]c2ccc(Br)cc2c1=O,-5.0,-5.6,-7.2,,Unknown
CCOC(=O)c1c[nH]c2c(CC)cccc2c1=O,-6.4,-5.6,-8.2,,Unknown
COc1ccc(-c2cc3c(nn2)-c2ccccc2C3=O)cc1,8.4,-6.7,-10.9,,Unknown
COc1ccc(CN2CCCC(C(=O)c3ccc(C(F)(F)F)cc3)C2)c(O)c1,0.9,-6.6,-10.3,,Unknown
