key,input,ic50_1um,ic50_2point5um
7514855889b544e289f8cc232ccfdbe6,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,0.08707239307958586,0.11160017095266186
17e4664547f3f4876ecb216a68c8f179,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,0.0902284098281965,0.0758963728777089
d0565023ffe529df43cb3964a347bdc2,COc1cc(O)c2c(c1)O[C@H](c1ccccc1)CC2=O,0.07633879030898741,0.06589858169640277
17f34c6225a9890fa55fad168e48f144,COc1cc2ccc(=O)oc2cc1OC,0.07100855855029523,0.10738416119470996
56b9dac052b9f2b417cd10b49c296a6f,COc1ccc(-c2cc(=O)c3c(O)cc(OC)cc3o2)cc1,0.07633879030898741,0.07159758514508938
4e9297d997dd7a53e4d716e7b648625a,O=C(O)C=Cc1ccc(O)cc1,0.10032246321461205,0.0742766657069122
8358e346a634daa993d0c2f66b366981,CC(C)=CCOc1ccc2ccc(=O)oc2c1,0.07633879030898741,0.08158858245237906
35fb5149d7da25ede0e355d338fc3ae4,CC(C)=CCc1c2c(c(O)c3c1O[C@H](c1ccc(O)cc1)CC3=O)C=CC(C)(C)O2,0.07542560990803072,0.10676836643839725
c62fa2d9d86fbc49be5228fad7bfb583,O=C(O)C=Cc1ccccc1,0.10475856041442098,0.07984212434846306
2c8296fd99a487fda3afd0b80cdd4a39,COC(=O)c1c(C)cc(OC(=O)c2c(C)cc(O)c(C=O)c2O)c(C)c1O,0.10269782057352005,0.08862456530602053
a73c2aa7263f8b1be4a1b418916f5233,O=c1c(O)cc2c(O)oc3c(=O)c(O)cc4c(O)oc1c2c43,0.13062802022310546,0.11458039347667431
8b53eed9016208aadd41ca9719ea6e19,CC1=CC(=O)c2c(O)cccc2C1=O,0.09685096244595194,0.0968263347625472
9133fe2cbbc9cd62c68820c437cb772e,CC(=O)O[C@H]1C[C@@H]2C(C)(C)C(=O)C=C[C@]2(C)[C@@H]2CC[C@@]3(C)[C@H](c4ccoc4)OC(=O)C4O[C@@]43[C@]12C,0.10489428052674099,0.1342535721158021
5db0896a5da2dee461e32564c6e99c33,COc1ccc(-c2oc3cc(OC)c(OC)cc3c(=O)c2O)cc1OC,0.08002730063635824,0.08175612005054408
